Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured ,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Oscar 1 and 2 Pier Shoreline*,Unknown,Unclassified,0,Unknown,Unknown,,"1,000 µg/kg",EPA PRG: 170 µg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,,59,,157.9674610°W 21.3466286°N,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Waters off Ford Island ,Landfill and Camel refurbishing area,Unclassified,0,Unknown,Unknown,,"1,700 µg/kg",EPA PRG: 170 µg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",60,Southwest of Ford Island as it is where the landfill was,157.9683081°W 21.3586633°N,
Antimony,Heavy metal,Waters off Bishop Point,Unknown,Unclassified,0,Unknown,Unknown,,29.8 mg/kg,EPA PRG: 8.4 µg/kg,Water sample (max. concentration at any depth),-,- ,"Short-term exposure to high levels of antimony can cause acute symptoms such as respiratory irritation, nausea, vomiting, and diarrhea. Chronic exposure to lower levels of antimony can lead to more serious health effects, including lung disease, cardiovascular problems, and liver damage. Some forms of antimony, especially antimony trioxide, are considered potential human carcinogens","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",61,Bishop Point off water,157.9666805°W 21.3285872°N,
Lead,Heavy metal,Waters off Bishop Point,Unknown,Unclassified,0,Unknown,Unknown,,"4,110 mg/kg",EPA PRG: 119 mg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",62,,157.9666805°W 21.3285872°N,
Mercury,Heavy metal,Waters off Bishop Point,Unknown,Unclassified,0,Unknown,Unknown,,0.79 mg/kg,EPA PRG: 0.71 mg/kg,Water sample (max. concentration at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",63,,157.9666805°W 21.3285872°N,
Zinc,Heavy metal,Waters off Bishop Point,Unknown,Unclassified,0,Unknown,Unknown,,"1,280 mg/kg",EPA PRG: 330 mg/kg,Water sample (max. concentration at any depth),-,- ,"Overexposure may result in anemia, injury to pancreas and kidney. However, is required nutrient for ingestion. Inhalation issues include ""metal fume fever""","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,,64,,157.9666805°W 21.3285872°N,
Polychlorinated Biphenyls (PCBs),Chlorinated hydrocarbon,Waters off Waiau Power Plant,Waiau Power Plant,Unclassified,0,Unknown,Unknown,,"4,200 µg/kg",EPA PRG: 170 µg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",65,,157.9683219°W 21.3587314°N ,
Lead,Heavy metal,ʻAiea Bay,Unknown,Unclassified,0,Unknown,Unknown,,140 mg/kg,EPA PRG: 119 mg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",66,,157.9373925°W 21.3749710°N,
Mercury,Heavy metal,ʻAiea Bay,Unknown,Unclassified,0,Unknown,Unknown,,2.4 mg/kg,EPA PRG: 0.71 mg/kg,Water sample (max. concentration at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",67,,157.9373925°W 21.3749710°N,
Zinc,Heavy metal,ʻAiea Bay,Unknown,Unclassified,0,Unknown,Unknown,,626 mg/kg,EPA PRG: 330 mg/kg,Water sample (max. concentration at any depth),-,- ,"Overexposure may result in anemia, injury to pancreas and kidney. However, is required nutrient for ingestion. Inhalation issues include ""metal fume fever""","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",68,,157.9373925°W 21.3749710°N,
Xylenes,Volatile organic compound (VOCs),Pearl City Collection Yard,Pearl City Collection Yard,Urban,0,1968-Current,Historic,Mānana,2.74 ppm,HDOH EAL: 1.4 mg/kg ,Subsurface Soil,Waiawa Stream,Waiawa stream to Middle Loch,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Not detailed, consulting firm is assembling EHMP for the site (DOH, 2023)",Pearl City Collection Yard Location.png,2023,https://eha-cloud.doh.hawaii.gov/iheer/#!/incident/4493/substances ,74,,157.9727939°W 21.3930763°N ,
Aldrin,Organochlorine pesticide,Former ʻEwa Sugar Plantation Managersʻ mansion and 3-house camp,Pesticides from ʻEwa Sugar plantation upstream,Agriculture,0,1925-1970s,Historic,Honouliuli,5.69 mg/kg mg/kg,HDOH EAL: 3.9 mg/kg; C/I: 8.4 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton Rd and into Pacific Ocean,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.","*area of lead-based paint exposure as well (relevant to EJ screen?),",2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",75,,158.0363833°W 21.3391631°N ,
Lead,Heavy metal,Former ʻEwa Sugar Plantation Managersʻ mansion and 3-house camp,Pesticides from ʻEwa Sugar plantation upstream,Agriculture,0,1925-1970s,Historic,Honouliuli,643 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton Rd and into Pacific Ocean,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",P. 61 Project Site,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",76,,158.0363833°W 21.3391631°N ,
DDT Compounds,Organochlorine pesticide,Former ʻEwa Sugar Plantation Managersʻ mansion and 3-house camp,Pesticides from ʻEwa Sugar plantation upstream,Agriculture,0,1925-1970s,Historic,Honouliuli,1.97 mg/Kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton Rd and into Pacific Ocean,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017047,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",77,,158.0363833°W 21.3391631°N ,
Dieldrin,Organochlorine pesticide,Former ʻEwa Sugar Plantation Managersʻ mansion and 3-house camp,Pesticides from ʻEwa Sugar plantation upstream,Agriculture,0,1925-1970s,Historic,Honouliuli,12.5 mg/Kg,HDOH EAL: 2.5 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton Rd and into Pacific Ocean,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017048,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",78,,158.0363833°W 21.3391631°N ,
Heptachlor epoxide ,Organochlorine pesticide,Former ʻEwa Sugar Plantation Managersʻ mansion and 3-house camp,Pesticides from ʻEwa Sugar plantation upstream,Agriculture,0,1925-1970s,Historic,Honouliuli,12.5 mg/Kg,HDOH EAL: 0.2 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton Rd and into Pacific Ocean,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017049,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",79,,158.0363833°W 21.3391631°N ,
PFOA,Per-and poly-fluoroalkyl substances (PFAS),Fire Truck Pump Test Area,Waiawa Gulch Training site and Unit Training and Equipment Site,Urban,1,1940s-Current,Ongoing ,Waiawa,18 ng/L,SL: 6 ng/L,Groundwater,Waiawa Stream,"The Waiawa Stream flows south to Middle Loch, Pearl Harbor","Exposure to PFOA has been associated with reproductive and developmental problems, liver damage, immune system effects, and potential carcinogenicity. Studies have linked PFOA exposure to kidney and testicular cancer, as well as thyroid disease",Predominantly affects site workers and recreational users. Surface water and sediment ingestion exposure pathway for recreational users of the surface water bodies is potentially complete; exposure to off-facility residents via ingestion of groundwater is considered incomplete.  ,"p.17 (2-6): map of site polygon/ P.25 site sampling locations. Note: soil samples also completed, but in compliance with regularions",2023,"(Army NGB, 2023) Final SI Waiawa Gulch Training & UTES.pdf",85,,157.9723741°W 21.4256993°N ,
