OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
37,58,Zinc,Heavy Metal,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,805 mg/kg,EPA PRG: 330 mg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Short-term exposure to high levels of antimony can cause acute symptoms such as respiratory irritation, nausea, vomiting, and diarrhea. Chronic exposure to lower levels of antimony can lead to more serious health effects, including lung disease, cardiovascular problems, and liver damage. Some forms of antimony, especially antimony trioxide, are considered potential human carcinogens","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",58,,157.9674610°W 21.3466286°N,,-17584837.918,2433234.643
38,59,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,Oscar 1 and 2 Pier Shoreline*,Oscar 1 and 2 Pier Shoreline*,Unsure,Unsure,Unsure,Unsure,"1,000 µg/kg",EPA PRG: 170 µg/kg,Pearl Harbor Sediment (max. at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,,59,,157.9674610°W 21.3466286°N,,-17584824.98,2433224.477
39,60,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,Waters off Ford Island ,Waters off Ford Island ,Unsure,Unsure,Unsure,Unsure,"1,700 µg/kg",EPA PRG: 170 µg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",60,Southwest of Ford Island as it is where the landfill was,157.9683081°W 21.3586633°N,,-17584954.26,2434726.115
40,61,Antimony,Heavy Metal,Waters off bishop point,Waters off bishop point,Unsure,Unsure,Unsure,Unsure,29.8 mg/kg,EPA PRG: 8.4 µg/kg,Water sample (max. concentration at any depth),-,- ,"Short-term exposure to high levels of antimony can cause acute symptoms such as respiratory irritation, nausea, vomiting, and diarrhea. Chronic exposure to lower levels of antimony can lead to more serious health effects, including lung disease, cardiovascular problems, and liver damage. Some forms of antimony, especially antimony trioxide, are considered potential human carcinogens","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",61,Bishop Point off water,157.9666805°W 21.3285872°N,,-17584758.696,2431179.275
41,62,Lead,Heavy Metal,Waters off bishop point,Waters off bishop point,Unsure,Unsure,Unsure,Unsure,"4,110 mg/kg",EPA PRG: 119 mg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",62,,157.9666805°W 21.3285872°N,,-17584764.273,2431193.448
42,63,Mercury,Heavy Metal,Waters off bishop point,Waters off bishop point,Unsure,Unsure,Unsure,Unsure,0.79 mg/kg,EPA PRG: 0.71 mg/kg,Water sample (max. concentration at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",63,,157.9666805°W 21.3285872°N,,-17584754.81,2431172.155
43,64,Zinc,Heavy Metal,Waters off bishop point,Waters off bishop point,Unsure,Unsure,Unsure,Unsure,"1,280 mg/kg",EPA PRG: 330 mg/kg,Water sample (max. concentration at any depth),-,- ,"Overexposure may result in anemia, injury to pancreas and kidney. However, is required nutrient for ingestion. Inhalation issues include ""metal fume fever""","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,,64,,157.9666805°W 21.3285872°N,,-17584747.712,2431164.466
44,65,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,Waters off Waiau Power Plant,Waters off Waiau Power Plant,Unsure,Unsure,Unsure,Unsure,"4,200 µg/kg",EPA PRG: 170 µg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",65,,157.9683219°W 21.3587314°N ,,-17584557.225,2437958.909
45,66,Lead,Heavy Metal,ʻAiea Bay,ʻAiea Bay,Unsure,Unsure,Unsure,Unsure,140 mg/kg,EPA PRG: 119 mg/kg,Water sample (max. concentration at any depth),-,- ,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",66,,157.9373925°W 21.3749710°N,,-17581717.949,2436616.481
46,67,Mercury,Heavy Metal,ʻAiea Bay,ʻAiea Bay,Unsure,Unsure,Unsure,Unsure,2.4 mg/kg,EPA PRG: 0.71 mg/kg,Water sample (max. concentration at any depth),-,- ,"Mercury can be highly toxic. Short-term exposure at high levels can cause nausea, vomiting, diarrhea, and respiratory distress. Long-term exposure, particularly to methylmercury, can lead to severe neurological and developmental effects, including cognitive deficits, motor dysfunction, and sensory impairments. Chronic exposure to inorganic mercury compounds can cause kidney damage and immune system dysfunction. Especially harmful to pregnant women and young children due to its potential to disrupt fetal and early childhood development.","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",67,,157.9373925°W 21.3749710°N,,-17581587.666,2436695.8
47,68,Zinc,Heavy Metal,ʻAiea Bay,ʻAiea Bay,Unsure,Unsure,Unsure,Unsure,626 mg/kg,EPA PRG: 330 mg/kg,Water sample (max. concentration at any depth),-,- ,"Overexposure may result in anemia, injury to pancreas and kidney. However, is required nutrient for ingestion. Inhalation issues include ""metal fume fever""","Contamination predominantly reaches humans through marine food ingestion, recreational use of area",Location map: p25,2018,"(NAVFAC, 2018) Final Record of Decision Pearl Harbor Sediment.pdf",68,,157.9373925°W 21.3749710°N,,-17581510.108,2436646.445
48,74,Xylenes,Volatile Organic Compound (VOCs),Pearl City Collection Yard,Pearl City Collection Yard,Urban,Unsure,Historic,Mānana,2.74 ppm,HDOH EAL: 1.4 mg/kg ,Subsurface Soil,Waiawa Stream,Waiawa stream to Middle Loch,"Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Not detailed, consulting firm is assembling EHMP for the site (DOH, 2023)",Pearl City Collection Yard Location.png,2023,https://eha-cloud.doh.hawaii.gov/iheer/#!/incident/4493/substances ,74,,157.9727939°W 21.3930763°N ,,-17585451.445,2438815.538
49,75,Aldrin,Organochlorine Pesticide,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Agriculture,1925-1970s,Historic,Honouliuli,5.69 mg/kg mg/kg,HDOH EAL: 3.9 mg/kg; C/I: 8.4 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton rd and into Pacific Ocean,"Aldrin is highly toxic. Short-term exposure can lead to acute neurological symptoms such as headaches, dizziness, and nausea, while severe cases may cause convulsions and respiratory failure. Long-term exposure is linked to chronic neurological damage, liver toxicity, and an increased risk of liver cancer","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.","*area of lead-based paint exposure as well (relevant to EJ screen?),",2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",75,,158.0363833°W 21.3391631°N ,,-17592529.849,2432384.189
50,76,Lead,Heavy Metal,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Agriculture,1925-1970s,Historic,Honouliuli,643 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton rd and into Pacific Ocean,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",P. 61 Project Site,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",76,,158.0363833°W 21.3391631°N ,,-17592531.1,2432376.822
51,77,"4, 4ʻ DDT",Organochlorine Pesticide,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Agriculture,1925-1970s,Historic,Honouliuli,1.97 mg/Kg,HDOH EAL: 1.8 mg/kg; C/I 5.6 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton rd and into Pacific Ocean,"DDT exposure has been linked to neurodevelopmental effects, including impaired cognitive function, learning disabilities, and behavioral disorders. In animal studies, prenatal and early-life exposure to DDT has been associated with alterations in brain structure and function. Also reproductive abornamilities","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017047,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",77,,158.0363833°W 21.3391631°N ,,-17592526.497,2432371.25
52,78,Dieldrin,Organochlorine Pesticide,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Agriculture,1925-1970s,Historic,Honouliuli,12.5 mg/Kg,HDOH EAL: 2.5 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton rd and into Pacific Ocean,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017048,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",78,,158.0363833°W 21.3391631°N ,,-17592530.373,2432367.616
53,79,Heptachlor epoxide ,Organochlorine Pesticide,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Former ʻEwa Sugar Plantation Managersʻs mansion and 3-house camp,Agriculture,1925-1970s,Historic,Honouliuli,12.5 mg/Kg,HDOH EAL: 0.2 mg/kg,Surface soil (0-6 in),West Loch (< 1 mi),Stormwater flows down Renton rd and into Pacific Ocean,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.","Site closed to the public in 2004, minimal risk of exposure. There is a potential risk of lead-based paint and asbestos exposure within the existing building for construction workers and trespassers. The property is owned by CCH.",Parcel TMK 191017049,2009,"(CCH, 2009) Phase I/II ESA Former Ewa Sugar Plantation Mansion and camp.pdf",79,,158.0363833°W 21.3391631°N ,,-17592537.883,2432371.735
